year,era_citation,pdf_url,legal_outcome,monetary_outcome,paired,disagrees
2010,AA 250/10,https://determinations.era.govt.nz/assets/elawpdf/2010/71b6886a13/aa-250_10.pdf,employee_win,employee_win,yes,no
2010,AA 351/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7241947f18/aa-351_10.pdf,employer_win,employer_win,yes,no
2010,CA 97/10,https://determinations.era.govt.nz/assets/elawpdf/2010/728a11bd24/ca-97_10.pdf,employee_win,employer_win,yes,yes
2010,CA 77/10,https://determinations.era.govt.nz/assets/elawpdf/2010/728fc5f820/ca-77_10.pdf,employer_win,employer_win,yes,no
2010,WA 158/10,https://determinations.era.govt.nz/assets/elawpdf/2010/72fc4357d7/wa-158_10.pdf,employer_win,employee_win,yes,yes
2010,AA 123/10,https://determinations.era.govt.nz/assets/elawpdf/2010/73ff17ab55/aa-123_10.pdf,employee_win,employee_win,yes,no
2010,AA 60/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7406c82b87/aa-60_10.pdf,employer_win,employer_win,yes,no
2010,AA 302/10,https://determinations.era.govt.nz/assets/elawpdf/2010/75c32d2e99/aa-302_10.pdf,employer_win,employee_win,yes,yes
2010,CA 152/10,https://determinations.era.govt.nz/assets/elawpdf/2010/762569be9a/ca-152_10.pdf,employee_win,employer_win,yes,yes
2010,CA 166/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7793e18c88/ca-166_10.pdf,employee_win,employer_win,yes,yes
2010,AA 176/10,https://determinations.era.govt.nz/assets/elawpdf/2010/77afd14bc5/aa-176_10.pdf,employer_win,employer_win,yes,no
2010,AA 481/10,https://determinations.era.govt.nz/assets/elawpdf/2010/78027af97f/aa-481_10.pdf,employer_win,employer_win,yes,no
2010,CA 171/10,https://determinations.era.govt.nz/assets/elawpdf/2010/78eb315e1b/ca-171_10.pdf,employee_win,employee_win,yes,no
2010,CA 128/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7af95f725e/ca-128_10.pdf,employee_win,employee_win,yes,no
2010,CA 105/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7b9388f53e/ca-105_10.pdf,employee_win,employee_win,yes,no
2010,CA 167/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7bc572fe8a/ca-167_10.pdf,employer_win,employer_win,yes,no
2010,AA 2/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7bdb10ae0c/aa-2_10.pdf,employee_win,employer_win,yes,yes
2010,AA 381/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7d2f1d93a3/aa-381_10.pdf,employer_win,employer_win,yes,no
